class_id,student_id,score
1,1,8.9
1,2,0.7
1,3,6.0
1,4,4.1
1,5,6.2
1,6,1.2
1,7,1.8
1,8,8.8
1,9,8.9
1,10,6.8
1,11,5.4
1,12,2.2
1,13,0.9
1,14,9.2
1,15,7.0
1,16,0.5
1,17,5.7
1,18,3.7
1,19,1.6
1,20,9.2
2,21,9.5
2,22,6.9
2,23,7.7
2,24,9.4
2,25,6.0
2,26,7.3
2,27,2.6
2,28,9.9
2,29,2.8
2,30,3.3
2,31,9.4
2,32,5.8
2,33,1.9
2,34,5.2
2,35,2.2
2,36,9.0
2,37,6.6
2,38,9.4
2,39,2.0
2,40,9.0
3,41,4.2
3,42,8.6
3,43,8.3
3,44,0.8
3,45,0.6
3,46,8.7
3,47,3.5
3,48,6.0
3,49,2.4
3,50,6.3
3,51,7.7
3,52,5.5
3,53,0.5
3,54,1.7
3,55,0.9
3,56,9.0
3,57,6.2
3,58,9.7
3,59,4.3
3,60,2.7
4,61,0.4
4,62,9.3
4,63,9.9
4,64,3.4
4,65,0.8
4,66,4.9
4,67,9.5
4,68,0.7
4,69,1.5
4,70,5.7
4,71,6.6
4,72,0.3
4,73,7.5
4,74,3.7
4,75,3.9
4,76,0.9
4,77,8.4
4,78,0.8
4,79,1.3
4,80,1.0
5,81,2.9
5,82,5.1
5,83,5.2
5,84,0.4
5,85,3.0
5,86,1.9
5,87,1.8
5,88,7.2
5,89,0.5
5,90,0.3
5,91,8.2
5,92,7.0
5,93,5.9
5,94,3.6
5,95,5.8
5,96,6.5
5,97,6.1
5,98,3.7
5,99,8.6
5,100,6.8
6,101,9.7
6,102,4.6
6,103,0.7
6,104,8.8
6,105,2.7
6,106,3.5
6,107,2.1
6,108,7.4
6,109,0.6
6,110,7.3
6,111,7.3
6,112,6.2
6,113,9.6
6,114,0.6
6,115,4.5
6,116,2.5
6,117,8.0
6,118,2.5
6,119,0.7
6,120,2.5
7,121,9.4
7,122,10.0
7,123,10.0
7,124,4.4
7,125,6.1
7,126,2.8
7,127,8.3
7,128,0.7
7,129,9.9
7,130,9.9
7,131,4.5
7,132,5.2
7,133,1.2
7,134,5.0
7,135,5.8
7,136,1.8
7,137,5.5
7,138,9.8
7,139,2.0
7,140,6.1
8,141,2.6
8,142,2.0
8,143,0.4
8,144,1.3
8,145,3.0
8,146,6.7
8,147,6.3
8,148,5.8
8,149,9.1
8,150,4.9
8,151,2.3
8,152,8.8
8,153,1.9
8,154,8.6
8,155,6.8
8,156,3.0
8,157,3.7
8,158,6.0
8,159,0.6
8,160,3.4
9,161,3.5
9,162,6.1
9,163,2.1
9,164,6.6
9,165,8.3
9,166,1.4
9,167,9.1
9,168,1.5
9,169,4.7
9,170,7.9
9,171,3.8
9,172,7.9
9,173,5.9
